RTK number	Jisho meanings
1	one, one radical (no.1)
2	two, two radical (no. 7)
3	three
4	four
5	five
6	six
7	seven
8	eight, eight radical (no. 12)
9	nine
10	ten
11	mouth
12	day, sun, Japan, counter for days
13	month, moon
14	rice field, rice paddy
15	eye, class, look, insight, experience, care, favor
16	old
17	I, my, our, one&#39;s own
18	risk, face, defy, dare, damage, assume (a name)
19	companion, friend
20	bright, light
21	chant, recite, call upon, yell
22	sparkle, clear, crystal
23	goods, refinement, dignity, article, counter for meal courses
24	spine, backbone
25	prosperous, bright, clear
26	early, fast
27	rising sun, morning sun
28	generation, world, society, public
29	stomach, paunch, crop, craw
30	daybreak, dawn, morning
31	gall bladder, courage, pluck, nerve
32	span, range, extend over
33	concave, hollow, sunken
34	convex, beetle brow, uneven
35	old times, old things, old friend, former, ex-
36	oneself
37	white
38	hundred
39	in, inside, middle, mean, center
40	thousand
41	tongue, reed, clapper
42	measuring box, 1.8 liter
43	rise up
44	round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away
45	measurement, tenth of a shaku, a little, small
46	elbow, arm
47	specialty, exclusive, mainly, solely
48	Dr., command, esteem, win acclaim, Ph.D., exposition, fair
49	fortune-telling, divining, forecasting, occupy, hold, have, get, take
50	above, up
51	below, down, descend, give, low, inferior
52	eminent, table, desk, high
53	morning, dynasty, regime, epoch, period, (North) Korea
54	ridicule, insult
55	only, free, in addition
56	shellfish
57	song, ballad
58	upright, chastity, constancy, righteousness
59	employee, member, number, the one in charge
60	stick, paste, apply
61	see, hopes, chances, idea, opinion, look at, visible
62	newborn babe, child, young of animals
63	beginning, former time, origin
64	page, leaf
65	stubborn, foolish, firmly
66	commonplace, ordinary, mediocre
67	defeat, negative, -, minus, bear, owe, assume a responsibility
68	ten thousand, 10,000
69	phrase, clause, sentence, passage, paragraph, counter for haiku
70	texture, skin, body, grain
71	decameron, ten-day period, season (for specific products)
72	ladle, one tenth of a go, dip
73	bull&#39;s eye, mark, target, object, adjective ending
74	neck, counter for songs and poems
75	the latter, duplicate, strange, witty, fishhook radical (no. 5)
76	riot, war, disorder, disturb
77	straightaway, honesty, frankness, fix, repair
78	tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture
79	true, reality, Buddhist sect
80	craft, construction, katakana e radical (no. 48)
81	left
82	right
83	possess, have, exist, happen, occur, approx
84	bribe, board, supply, finance
85	tribute, support, finance
